Cédula, Nombre, Tipo de licencia
6-6546-4858, Kenneth Shisler Bassett, Licencia B1
8-8347-3186, Ralph Lilly Gill, Licencia D1
2-3525-0608, Richard Hendrickson Coker, Licencia A3
5-9912-1049, Laura Lindley Mclaughlin, Licencia B4 (camión articulado)
5-4715-2111, Tina Caron Seamons, Licencia E1
8-8652-9761, Tiffany Thomas Sterlace, Licencia E2
4-5169-6580, John Enderle Sledge, Licencia C1 (taxi)
7-5609-8593, Renea Martin Haynes, Licencia A1
4-1695-9306, Catherine Daniel Rutledge, Licencia A1
6-9054-4884, Melissa David Alejandre, Licencia B4 (camión articulado)
7-1284-8374, Frank Wright Sanders, Licencia E1
8-4287-6426, William Wright Jackson, Licencia B2 (camión pequeño)
3-5590-3595, Charles Brown Wyss, Licencia D1
2-8923-6834, Susan Horton Schlipp, Licencia B2 (camión pequeño)
7-0907-7885, Michael Nevels Perrez, Licencia D2
4-5240-5624, Harold Groves Stemper, Licencia D3
1-5535-4256, Michele Boone Brevard, Licencia A1
3-2834-4728, David Dupree Devore, Licencia A3
2-6685-0993, Ruth Phelps Allyn, Licencia A3
