Cédula, Nombre, FechaNac, FechaExp, FechaVenc, TipoLicen, TipoSangre, Donador, Sede, Puntaje
4-0339-0320, Ashley Powers Antoine, 11-11-1994, 19-06-2023, 17-06-2028, Licencia B4 (camión articulado), B+, False, Dirección General de Educación Vial licencias Heredia, 8, PowersAA@gmail.com
1-1269-8185, Ryan Palacios Jacobsen, 4-10-1999, 19-06-2023, 17-06-2028, Licencia E1, O+, False, Dirección General de Educación Vial, 11, PalaciosJR@gmail.com
8-8538-7700, Vivian Manahan Mccray, 7-7-1918, 19-06-2023, 17-06-2028, Licencia A3, A-, False, Dirección General de Educación Vial, 6, ManahanMV@gmail.com
7-1928-8807, Ronald Morgan Adams, 26-1-1997, 19-06-2023, 17-06-2028, Licencia B3 (camión pesado), O-, False, Dirección General de Educación Vial licencias Guapiles, 11, MorganAR@gmail.com
8-5695-8744, Malcolm Doan Nichols, 9-5-1953, 19-06-2023, 17-06-2028, Licencia B4 (camión articulado), A-, False, , 2, DoanNM@gmail.com
5-8555-5423, Byron Young Osburn, 16-8-1987, 19-06-2023, 17-06-2028, Licencia E1, O-, True, Dirección General de Educación Vial licencias Nicoya, 6, YoungOB@gmail.com
6-3647-7797, Evelyn Garcia Kuhn, 1-9-1958, 19-06-2023, 17-06-2028, Licencia B2 (camión pequeño), A-, True, Dirección General de Educación Vial licencias Rio Claro, 5, GarciaKE@gmail.com
1-6384-5716, Mary Paddio Sa, 27-6-1905, 19-06-2023, 17-06-2028, Licencia B1, O-, False, , 8, PaddioSM@gmail.com
4-8011-5080, Edgar Ferrera Beaver, 20-9-1986, 19-06-2023, 17-06-2028, Licencia C1 (taxi), A+, True, Dirección General de Educación Vial licencias Heredia, 7, FerreraBE@gmail.com
7-6673-0900, William Eckhard Hussey, 1-3-1902, 19-06-2023, 17-06-2028, Licencia A2, A+, False, Dirección General de Educación Vial licencias Guapiles, 12, EckhardHW@gmail.com
5-7876-7907, Edith Phelps Pettrey, 8-5-1939, 19-06-2023, 17-06-2028, Licencia A2, A+, True, Dirección General de Educación Vial licencias Nicoya, 12, PhelpsPE@gmail.com
8-3261-0014, Pamela Hernandez Melton, 11-2-1985, 19-06-2023, 17-06-2028, Licencia B1, AB, False, , 6, HernandezMP@gmail.com
4-0641-7589, Michelle Huerta Mullen, 9-2-1951, 19-06-2023, 17-06-2028, Licencia D3, A-, False, Dirección General de Educación Vial licencias Heredia, 12, HuertaMM@gmail.com
4-1143-6761, Shane Taylor Yates, 2-5-1944, 19-06-2023, 17-06-2028, Licencia B4 (camión articulado), B-, True, Dirección General de Educación Vial licencias Heredia, 8, TaylorYS@gmail.com
3-1405-3677, George Parson Johnson, 12-10-1945, 19-06-2023, 17-06-2028, Licencia A1, B+, False, Dirección General de Educación Vial licencias Cartago, 8, ParsonJG@gmail.com
8-8447-3019, Timothy Foley Holley, 27-5-1933, 19-06-2023, 17-06-2028, Licencia A1, O-, False, , 5, FoleyHT@gmail.com
3-5075-1142, Gustavo Oller Dougherty, 24-8-1952, 19-06-2023, 17-06-2028, Licencia E1, AB, False, Dirección General de Educación Vial licencias Cartago, 2, OllerDG@gmail.com
3-6575-5900, Julia Lindelof Spease, 18-3-1984, 19-06-2023, 17-06-2028, Licencia D1, AB+, True, Dirección General de Educación Vial licencias Cartago, 7, LindelofSJ@gmail.com
3-1330-7814, Marilyn Montoya Trickel, 24-12-1987, 19-06-2023, 17-06-2028, Licencia A2, AB, False, Dirección General de Educación Vial licencias Cartago, 6, MontoyaTM@gmail.com
2-0830-1791, Cherie Cain Smith, 3-10-1980, 19-06-2023, 17-06-2028, Licencia B1, AB, False, , 8, CainSC@gmail.com
8-6600-9509, Patty Graap Todd, 27-10-1991, 19-06-2023, 17-06-2028, Licencia C2 (autobús), B+, False, , 6, GraapTP@gmail.com
5-5107-1756, Walter Parks Bickel, 4-10-1960, 19-06-2023, 17-06-2028, Licencia D1, A+, True, Dirección General de Educación Vial licencias Nicoya, 7, ParksBW@gmail.com
1-6819-6879, Anne Fritz Chamberlain, 27-5-2001, 19-06-2023, 17-06-2028, Licencia C2 (autobús), AB, False, , 7, FritzCA@gmail.com
5-3710-7566, Agnes Graham Augustine, 21-7-1994, 19-06-2023, 17-06-2028, Licencia D2, O+, False, Dirección General de Educación Vial licencias Nicoya, 5, GrahamAA@gmail.com
6-4209-1204, Dwight Nava Basham, 9-5-2002, 19-06-2023, 17-06-2028, Licencia B4 (camión articulado), B+, False, Dirección General de Educación Vial licencias Rio Claro, 7, NavaBD@gmail.com
6-8523-8991, Douglas Pratt Smith, 18-10-1990, 19-06-2023, 17-06-2028, Licencia A1, AB+, False, Dirección General de Educación Vial licencias Rio Claro, 12, PrattSD@gmail.com
6-0045-5808, Fredrick Lee Swendsen, 12-12-1965, 19-06-2023, 17-06-2028, Licencia D2, O-, True, Dirección General de Educación Vial licencias Puntarenas, 7, LeeSF@gmail.com
1-7697-9479, Kristin Scally Brueckman, 9-4-1949, 19-06-2023, 17-06-2028, Licencia C1 (taxi), B-, True, , 12, ScallyBK@gmail.com
3-2533-4395, Brian Jones Pruitt, 11-5-1935, 19-06-2023, 17-06-2028, Licencia C2 (autobús), O+, True, Dirección General de Educación Vial licencias Cartago, 0, JonesPB@gmail.com
8-2246-9540, Katherine Tanner Turpin, 7-7-1900, 19-06-2023, 17-06-2028, Licencia C2 (autobús), B-, False, Dirección General de Educación Vial, 1, TannerTK@gmail.com
